command,toolkit,match,description
*Invoke-SharpHide*,PowerSharpPack,Invoke-SharpHide,Tool to create hidden registry keys.
*Invoke-Sharphound*,PowerSharpPack,Invoke-Sharphound,C# Data Collector for the BloodHound Project
*Invoke-SharpImpersonation*,PowerSharpPack,Invoke-SharpImpersonation,SharpImpersonation - A User Impersonation tool - via Token or Shellcode injection.
*Invoke-SharpImpersonationNoSpace*,PowerSharpPack,Invoke-SharpImpersonationNoSpace,SharpImpersonation - A User Impersonation tool - via Token or Shellcode injection.
*Invoke-SharpKatz*,PowerSharpPack,Invoke-SharpKatz,"C# Port of mimikatz sekurlsa::logonpasswords, sekurlsa::ekeys and lsadump::dcsync commands."
*Invoke-SharpLdapRelayScan*,PowerSharpPack,Invoke-SharpLdapRelayScan,C# Port of LdapRelayScan
*Invoke-Sharplocker*,PowerSharpPack,Invoke-Sharplocker,"SharpLocker helps get current user credentials by popping a fake Windows lock screen, all output is sent to Console which works perfect for Cobalt Strike."
*Invoke-SharpLoginPrompt*,PowerSharpPack,Invoke-SharpLoginPrompt,This Program creates a login prompt to gather username and password of the current user. This project allows red team to phish username and password of the current user without touching lsass and having adminitrator credentials on the system.
*Invoke-SharpMove*,PowerSharpPack,Invoke-SharpMove,.NET Project for performing Authenticated Remote Execution.
*Invoke-SharpPrinter*,PowerSharpPack,Invoke-SharpPrinter,Discover Printers + check for vulns
*Invoke-SharpPrintNightmare*,PowerSharpPack,Invoke-SharpPrintNightmare,C# implementation of PrintNightmare CVE-2021-1675/CVE-2021-34527
*Invoke-SharpRDP*,PowerSharpPack,Invoke-SharpRDP,Remote Desktop Protocol .NET Console Application for Authenticated Command Execution.
*Invoke-SharpSCCM*,PowerSharpPack,Invoke-SharpSCCM,A C# utility for interacting with SCCM
*Invoke-SharpSecDump*,PowerSharpPack,Invoke-SharpSecDump,.Net port of the remote SAM + LSA Secrets dumping functionality of impacket's secretsdump.py.
*Invoke-Sharpshares*,PowerSharpPack,Invoke-Sharpshares,"Enumerate all network shares in the current domain. Also, can resolve names to IP addresses."
*Invoke-SharpSniper*,PowerSharpPack,Invoke-SharpSniper,Find specific users in active directory via their username and logon IP address
*Invoke-Sharpsploit_nomimi*,PowerSharpPack,Invoke-Sharpsploit_nomimi,SharpSploit is a .NET post-exploitation library written in C#.
*Invoke-SharpSploit*,PowerSharpPack,Invoke-SharpSploit,SharpSploit is a .NET post-exploitation library written in C#.
*Invoke-SharpSpray*,PowerSharpPack,Invoke-SharpSpray,SharpSpray a simple code set to perform a password spraying attack against all users of a domain using LDAP and is compatible with Cobalt Strike.
*Invoke-SharpSSDP*,PowerSharpPack,Invoke-SharpSSDP,SSDP Service Discovery
*Invoke-SharpStay*,PowerSharpPack,Invoke-SharpStay,.NET project for installing Persistence
*Invoke-SharpUp*,PowerSharpPack,Invoke-SharpUp,SharpUp is a C# port of various PowerUp functionality.
*Invoke-Sharpview*,PowerSharpPack,Invoke-Sharpview,C# implementation of harmj0y's PowerView
*Invoke-SharpWatson*,PowerSharpPack,Invoke-SharpWatson,Enumerate missing KBs and suggest exploits for useful Privilege Escalation vulnerabilities
*Invoke-Sharpweb*,PowerSharpPack,Invoke-Sharpweb,".NET 2.0 CLR project to retrieve saved browser credentials from Google Chrome, Mozilla Firefox and Microsoft Internet Explorer/Edge."
*Invoke-SharpWSUS*,PowerSharpPack,Invoke-SharpWSUS,"SharpWSUS is a CSharp tool for lateral movement through WSUS. There is a corresponding blog (https://labs.nettitude.com/blog/introducing-sharpwsus/) which has more detailed information about the tooling, use case and detection."
*Invoke-Shellcode*,PowerSploit,Invoke-Shellcode,Injects shellcode into the process ID of your choosing or within PowerShell locally.
*Invoke-SMBExec*,Multiple,Invoke-SMBExec,Process execution via SMB
*Invoke-Snaffler*,PowerSharpPack,Invoke-Snaffler,"A tool for pentesters to help find delicious candy, by @l0ss and @Sh3r4 ( Twitter: @/mikeloss and @/sh3r4_hax )."
*Invoke-Spoolsample*,PowerSharpPack,Invoke-Spoolsample,PoC tool to coerce Windows hosts authenticate to other machines via the MS-RPRN RPC interface. This is possible via other protocols as well.
*Invoke-SSIDExfil*,Nishang,Invoke-SSIDExfil,"Exfiltrate information like user credentials, using WLAN SSID."
*Invoke-StandIn*,PowerSharpPack,Invoke-StandIn,StandIn is a small .NET35/45 AD post-exploitation toolkit
*Invoke-StickyNotesExtract*,PowerSharpPack,Invoke-StickyNotesExtract,Extracts data from the Windows Sticky Notes database. Works on Windows 10 Build 1607 and higher. This project doesn't rely on any external dependencies.
*Invoke-Tater*,Multiple,Invoke-Tater,"If the host is vulnerable to the Hot Potato privilege escalation, will run commands as System, as we will be able to impersonate the SYSTEM account"
*Invoke-Thunderfox*,PowerSharpPack,Invoke-Thunderfox,"Retrieves data (contacts, emails, history, cookies and credentials) from Thunderbird and Firefox."
*Invoke-TokenManipulation*,PowerSploit,Invoke-TokenManipulation,"Lists available logon tokens. Creates processes with other users logon tokens, and impersonates logon tokens in the current thread."
*Invoke-Tokenvator*,PowerSharpPack,Invoke-Tokenvator,A tool to elevate privilege with Windows Tokens
*Invoke-UrbanBishop*,PowerSharpPack,Invoke-UrbanBishop,Creates a local RW section in UrbanBishop and then maps that section as RX into a remote process. Shellcode loading made easy.
*Invoke-Whisker*,PowerSharpPack,Invoke-Whisker,"Whisker is a C# tool for taking over Active Directory user and computer accounts by manipulating their msDS-KeyCredentialLink attribute, effectively adding Shadow Credentials to the target account."
*Invoke-winPEAS*,PowerSharpPack,Invoke-winPEAS,Check the Local Windows Privilege Escalation checklist from book.hacktricks.xyz
*Invoke-WireTap*,PowerSharpPack,Invoke-WireTap,".NET 4.0 Project to interact with video, audio and keyboard hardware."
*Invoke-WmiCommand*,PowerSploit,Invoke-WmiCommand,Executes a PowerShell ScriptBlock on a target computer and returns its formatted output using WMI as a C2 channel.
*Invoke-WMIExec*,Multiple,Invoke-WMIExec,Process execution via WMI
*kerberos::*,Multiple,kerberos::,Mimikatz exploit commands
*Keylogger*,Nishang,Keylogger,Log keystrokes from a target.
*lsadump::*,Multiple,lsadump::,Mimikatz exploit commands
*Mayhem*,PowerSploit,Mayhem,Cause general mayhem with PowerShell.
*Mount-VolumeShadowCopy*,PowerSploit,Mount-VolumeShadowCopy,Mounts a volume shadow copy.
*New-ElevatedPersistenceOption*,PowerSploit,New-ElevatedPersistenceOption,Configure elevated persistence options for the Add-Persistence function.
*New-UserPersistenceOption*,PowerSploit,New-UserPersistenceOption,Configure user-level persistence options for the Add-Persistence function.
*New-VolumeShadowCopy*,PowerSploit,New-VolumeShadowCopy,Creates a new volume shadow copy.
*Out-CompressedDll*,PowerSploit,Out-CompressedDll,"Compresses, Base-64 encodes, and outputs generated code to load a managed dll in memory."
*Out-EncodedCommand*,PowerSploit,Out-EncodedCommand,"Compresses, Base-64 encodes, and generates command-line output for a PowerShell payload script."
*Out-EncryptedScript*,PowerSploit,Out-EncryptedScript,Encrypts text files/scripts.
*Out-Minidump*,PowerSploit,Out-Minidump,Generates a full-memory minidump of a process.
*Out-RundllCommand*,Nishang,Out-RundllCommand,Execute PowerShell commands and scripts or a reverse PowerShell session using rundll32.exe.
*Powerpreter*,Nishang,Powerpreter,Powerpreter
*PowerUp*,PowerSploit,PowerUp,"Clearing house of common privilege escalation checks, along with some weaponization vectors."
*PowerView*,PowerSploit,PowerView,PowerView is series of functions that performs network and Windows domain enumeration and exploitation.
*Remove-ADSBackdoor*,Alternate Datastreams Backdoor,Remove-ADSBackdoor,This script will obtain persistence on a Windows 7+ machine under both Standard and Administrative accounts by using two Alternate Data Streams.
*Remove-Comment*,PowerSploit,Remove-Comment,Strips comments and extra whitespace from a script.
*Remove-Persistence*,Nishang,Remove-Persistence,Remote persistence added by the Add-Persistence script.
*Remove-PoshRat*,Nishang,Remove-PoshRat,Clean the system after using Invoke-PoshRatHttps
*Remove-Update*,Nishang,Remove-Update,Introduce vulnerabilities by removing patches.
*Remove-VolumeShadowCopy*,PowerSploit,Remove-VolumeShadowCopy,Deletes a volume shadow copy.
*Run-EXEonRemote*,Nishang,Run-EXEonRemote,Copy and execute an executable on multiple machines.
*sekurlsa::*,Multiple,sekurlsa::,Mimikatz exploit commands
*Set-CriticalProcess*,PowerSploit,Set-CriticalProcess,Causes your machine to blue screen upon exiting PowerShell.
*Set-DCShadowPermissions*,Nishang,Set-DCShadowPermissions,Modify AD objects to provide minimal permissions required for DCShadow.
*Set-MasterBootRecord*,PowerSploit,Set-MasterBootRecord,Proof of concept code that overwrites the master boot record with the message of your choice.
*Set-RemotePSRemoting*,Nishang,Set-RemotePSRemoting,Modify permissions of PowerShell remoting to allow access to a non-admin user.
*Set-RemoteWMI*,Nishang,Set-RemoteWMI,Modify permissions of DCOM and WMI namespaces to allow access to a non-admin user.
*Sherlock*,Multiple,Sherlock,PowerShell script to quickly find missing software patches for local privilege escalation vulnerabilities
*Show-TargetScreen*,Nishang,Show-TargetScreen,Connect back and Stream target screen using MJPEG.
*Start-PowerCat*,PowerCat,Start-PowerCat,Starts a listener/server.
