mitre_id,technique,tactics,groups
T1552.005,Cloud Instance Metadata API,Credential Access,TeamTNT
T1555.002,Securityd Memory,Credential Access,no
T1615,Group Policy Discovery,Discovery,Turla
T1542.003,Bootkit,Stealth|Persistence,APT41|Lazarus Group|APT28
T1025,Data from Removable Media,Collection,OilRig|Gamaredon Group|APT28|Turla
T1218.013,Mavinject,Stealth,no
T1074.001,Local Data Staging,Collection,Storm-1811|Threat Group-3390|Sidewinder|FIN5|Patchwork|WIRTE|UNC3886|APT5|Lotus Blossom|TeamTNT|Indrik Spider|Agrius|Lazarus Group|Chimera|MuddyWater|APT3|Wizard Spider|Kimsuky|APT39|GALLIUM|Leviathan|menuPass|BackdoorDiplomacy|Mustang Panda|Dragonfly|FIN13|APT28|Volt Typhoon
T1036.005,Match Legitimate Resource Name or Location,Stealth,TeamTNT|Gamaredon Group|Volt Typhoon|BRONZE BUTLER|TA2541|APT41|APT42|Storm-1811|Indrik Spider|FIN7|Mustard Tempest|MuddyWater|WIRTE|Patchwork|VOID MANTICORE|Transparent Tribe|admin@338|Earth Lusca|BackdoorDiplomacy|Akira|Ferocious Kitten|RedCurl|APT29|APT28|Naikon|Chimera|Aquatic Panda|APT32|Ke3chang|Tropic Trooper|Magic Hound|APT-C-36|PROMETHIUM|INC Ransom|LuminousMoth|Whitefly|OilRig|Machete|Carbanak|Lazarus Group|Darkhotel|APT1|Blue Mockingbird|Sidewinder|menuPass|Sowbug|Ember Bear|APT39|Velvet Ant|Kimsuky|APT5|Poseidon Group|Silence|Fox Kitten|ToddyCat|SideCopy|Turla|Mustang Panda|FIN13|Sandworm Team|Rocke
T1587.003,Digital Certificates,Resource Development,APT29|PROMETHIUM|Gamaredon Group|Storm-0501
T1565.001,Stored Data Manipulation,Impact,APT38
T1110.002,Password Cracking,Credential Access,APT3|Dragonfly|Salt Typhoon|FIN6
T1114.001,Local Email Collection,Collection,WIRTE|RedCurl|Sea Turtle|APT1|Chimera|Magic Hound|MirrorFace|Winter Vivern
T1555.001,Keychain,Credential Access,Contagious Interview
T1547,Boot or Logon Autostart Execution,Persistence|Privilege Escalation,APT42
T1003.004,LSA Secrets,Credential Access,MuddyWater|Threat Group-3390|OilRig|Leafminer|APT33|APT29|menuPass|Dragonfly|Ember Bear|Ke3chang
T1600,Weaken Encryption,Defense Impairment,no
T1606.002,SAML Tokens,Credential Access,no
T1036.008,Masquerade File Type,Stealth,Volt Typhoon|BlackByte|MirrorFace|Mustang Panda
T1489,Service Stop,Impact,Medusa Group|Kimsuky|Lazarus Group|Sandworm Team|LAPSUS$|Wizard Spider|Indrik Spider
T1587.001,Malware,Resource Development,Kimsuky|FIN13|Moonstone Sleet|Indrik Spider|Lazarus Group|Contagious Interview|OilRig|UNC3886|LuminousMoth|MirrorFace|Sandworm Team|Salt Typhoon|APT29|Play|Aoqin Dragon|APT-C-36|RedCurl|Cleaver|Moses Staff|Turla|Ke3chang|VOID MANTICORE|Mustang Panda|TeamTNT|FIN7
T1652,Device Driver Discovery,Discovery,Medusa Group
T1087.002,Domain Account,Discovery,FIN13|FIN6|MirrorFace|APT41|Ke3chang|Scattered Spider|Mustang Panda|Lotus Blossom|MuddyWater|INC Ransom|LAPSUS$|Chimera|menuPass|VOID MANTICORE|OilRig|ToddyCat|Turla|BlackByte|Wizard Spider|Fox Kitten|FIN7|Poseidon Group|RedCurl|Storm-1811|Storm-0501|Volt Typhoon|Sandworm Team|BRONZE BUTLER|Dragonfly
T1547.014,Active Setup,Persistence|Privilege Escalation,no
T1564,Hide Artifacts,Stealth,no
T1559.002,Dynamic Data Exchange,Execution,Cobalt Group|FIN7|MuddyWater|Sidewinder|APT28|APT37|Gallmaker|Leviathan|BITTER|TA505|Patchwork
T1204.002,Malicious File,Execution,Malteiro|APT12|Kimsuky|Machete|Elderwood|Transparent Tribe|Dragonfly|WIRTE|Contagious Interview|RTM|Aoqin Dragon|APT-C-36|CURIUM|Gallmaker|Tropic Trooper|Dark Caracal|RedCurl|DarkHydrus|PLATINUM|menuPass|TA551|HEXANE|FIN8|Threat Group-3390|BITTER|Ferocious Kitten|APT37|LazyScripter|PROMETHIUM|TA505|APT39|Star Blizzard|Higaisa|Rancor|Wizard Spider|OilRig|Sandworm Team|Magic Hound|FIN4|Cobalt Group|Storm-1811|MirrorFace|Inception|EXOTIC LILY|Ajax Security Team|Saint Bear|Lazarus Group|FIN6|Patchwork|Whitefly|TA459|FIN7|Moonstone Sleet|Nomadic Octopus|APT28|Gorgon Group|APT19|TA2541|Earth Lusca|SideCopy|Mofang|VOID MANTICORE|Leviathan|Tonto Team|APT30|Andariel|BRONZE BUTLER|APT38|MuddyWater|Naikon|Mustang Panda|Molerats|admin@338|Gamaredon Group|Darkhotel|APT32|The White Company|IndigoZebra|APT33|Silence|Sidewinder|Indrik Spider|APT29|Confucius|BlackTech|Windshift
T1591.003,Identify Business Tempo,Reconnaissance,no
T1685.004,Disable or Modify Linux Audit System Log,Defense Impairment,no
T1071.005,Publish/Subscribe Protocols,Command And Control,no
T1592.001,Hardware,Reconnaissance,no
T1080,Taint Shared Content,Lateral Movement,Darkhotel|RedCurl|Gamaredon Group|BRONZE BUTLER|Cinnamon Tempest
T1484.002,Trust Modification,Defense Impairment|Privilege Escalation,Scattered Spider|Storm-0501
T1213.006,Databases,Collection,Sandworm Team|FIN6|Sea Turtle|Turla
T1573.001,Symmetric Cryptography,Command And Control,Mustang Panda|Darkhotel|Lazarus Group|ZIRCONIUM|Volt Typhoon|RedCurl|Stealth Falcon|MuddyWater|Contagious Interview|Higaisa|Inception|APT33|APT28|BRONZE BUTLER
T1087.001,Local Account,Discovery,Ke3chang|Moses Staff|Medusa Group|OilRig|APT41|Lotus Blossom|APT32|Volt Typhoon|APT42|RedCurl|Chimera|Turla|Fox Kitten|APT3|Threat Group-3390|Poseidon Group|admin@338|APT1
T1586.001,Social Media Accounts,Resource Development,Sandworm Team|Leviathan
T1176.001,Browser Extensions,Persistence,Kimsuky
T1542.005,TFTP Boot,Stealth|Persistence,no
T1686.003,Windows Host Firewall,Defense Impairment,MirrorFace|OilRig|Moses Staff|VOID MANTICORE|Magic Hound|Lazarus Group
T1543.003,Windows Service,Persistence|Privilege Escalation,Tropic Trooper|Medusa Group|DarkVishnya|Aquatic Panda|APT38|Lotus Blossom|APT41|Wizard Spider|Blue Mockingbird|TeamTNT|BlackByte|APT19|Threat Group-3390|Ke3chang|PROMETHIUM|OilRig|APT32|Carbanak|APT3|FIN7|Agrius|Kimsuky|Earth Lusca|Cobalt Group|Lazarus Group|Cinnamon Tempest
T1568.001,Fast Flux DNS,Command And Control,menuPass|TA505|Gamaredon Group
T1497.001,System Checks,Stealth|Discovery,Evilnum|Volt Typhoon|Darkhotel|WIRTE|Kimsuky|OilRig|Gamaredon Group
T1053.003,Cron,Execution|Persistence|Privilege Escalation,Rocke|APT5|APT38
T1069.002,Domain Groups,Discovery,LAPSUS$|ToddyCat|Volt Typhoon|OilRig|Mustang Panda|FIN7|INC Ransom|Ke3chang|Turla|Inception|Dragonfly|Medusa Group|Scattered Spider
T1588.006,Vulnerabilities,Resource Development,Sandworm Team|Volt Typhoon|Storm-0501
T1566.002,Spearphishing Link,Initial Access,BlackTech|MuddyWater|LuminousMoth|MirrorFace|Confucius|Mofang|Kimsuky|Sidewinder|Elderwood|Machete|FIN7|Mustard Tempest|Sandworm Team|Transparent Tribe|Evilnum|Mustang Panda|FIN8|APT32|APT3|APT1|Lazarus Group|Leviathan|APT33|ZIRCONIUM|EXOTIC LILY|Molerats|Magic Hound|OilRig|Windshift|Cobalt Group|APT29|WIRTE|FIN4|TA2541|APT-C-36|Earth Lusca|RedCurl|Storm-1811|Turla|Wizard Spider|TA577|Patchwork|TA505|LazyScripter|APT42|APT39
T1499.004,Application or System Exploitation,Impact,no
T1137,Office Application Startup,Persistence,APT32|Gamaredon Group
T1218.004,InstallUtil,Stealth,Mustang Panda|menuPass
T1598.003,Spearphishing Link,Reconnaissance,Sidewinder|Scattered Spider|Mustang Panda|Sandworm Team|Silent Librarian|ZIRCONIUM|APT32|Kimsuky|Magic Hound|APT28|Star Blizzard|Moonstone Sleet|CURIUM|Dragonfly|Patchwork
T1021.004,SSH,Lateral Movement,FIN7|Lazarus Group|Leviathan|Scattered Spider|BlackTech|Aquatic Panda|GCMAN|Fox Kitten|TeamTNT|Storm-1811|Salt Typhoon|OilRig|APT5|UNC3886|FIN13|menuPass|Indrik Spider|Rocke|APT39
T1098.003,Additional Cloud Roles,Persistence|Privilege Escalation,Scattered Spider|LAPSUS$|Storm-0501
T1547.012,Print Processors,Persistence|Privilege Escalation,Earth Lusca
T1566.001,Spearphishing Attachment,Initial Access,Cobalt Group|Lazarus Group|Saint Bear|Tropic Trooper|FIN6|APT28|admin@338|Windshift|BRONZE BUTLER|WIRTE|MuddyWater|menuPass|Threat Group-3390|Gamaredon Group|APT32|Darkhotel|BITTER|APT29|Inception|EXOTIC LILY|Ajax Security Team|Dragonfly|Sandworm Team|Elderwood|APT33|Molerats|Patchwork|TA551|RTM|RedCurl|APT41|Winter Vivern|Higaisa|Confucius|TA459|BlackTech|Gorgon Group|Leviathan|Mofang|Naikon|APT12|APT19|Star Blizzard|APT30|Ferocious Kitten|Malteiro|SideCopy|MirrorFace|FIN8|Nomadic Octopus|LazyScripter|Mustang Panda|OilRig|Moonstone Sleet|Transparent Tribe|Kimsuky|Machete|FIN4|Wizard Spider|Andariel|TA2541|Tonto Team|Sidewinder|TA505|FIN7|APT37|CURIUM|Silence|IndigoZebra|APT1|APT38|DarkHydrus|The White Company|PLATINUM|Rancor|APT-C-36|APT39|Gallmaker
T1027.008,Stripped Payloads,Stealth,no
T1559.001,Component Object Model,Execution,Kimsuky|MuddyWater|Gamaredon Group|Medusa Group
T1574.001,DLL,Stealth|Execution,Chimera|Cinnamon Tempest|MuddyWater|Velvet Ant|RTM|Tonto Team|Patchwork|Whitefly|Aquatic Panda|GALLIUM|Higaisa|APT32|Storm-1811|Evilnum|Tropic Trooper|Earth Lusca|LuminousMoth|BRONZE BUTLER|WIRTE|APT3|BlackTech|FIN13|Mustang Panda|SideCopy|Daggerfly|MirrorFace|Naikon|Lazarus Group|Threat Group-3390|BackdoorDiplomacy|APT19|APT-C-36|Sidewinder|APT41|menuPass
T1119,Automated Collection,Collection,VOID MANTICORE|Gamaredon Group|Ember Bear|RedCurl|APT1|Ke3chang|FIN5|HAFNIUM|Agrius|APT28|Winter Vivern|Confucius|OilRig|FIN6|Patchwork|Tropic Trooper|Sidewinder|Chimera|Threat Group-3390|Mustang Panda|menuPass
T1689,Downgrade Attack,Defense Impairment,no
T1115,Clipboard Data,Collection,APT39|Kimsuky|APT38|OilRig
T1003.007,Proc Filesystem,Credential Access,no
T1583.005,Botnet,Resource Development,HAFNIUM|APT5|Ke3chang
T1555.005,Password Managers,Credential Access,Threat Group-3390|Indrik Spider|Fox Kitten|UNC3886|Storm-0501|Scattered Spider|LAPSUS$
T1553.001,Gatekeeper Bypass,Defense Impairment,no
T1675,ESXi Administration Command,Execution,UNC3886
T1608.004,Drive-by Target,Resource Development,Transparent Tribe|LuminousMoth|Dragonfly|CURIUM|APT32|FIN7|Threat Group-3390|Mustard Tempest
T1007,System Service Discovery,Discovery,BRONZE BUTLER|TeamTNT|Indrik Spider|OilRig|Turla|Aquatic Panda|Poseidon Group|Kimsuky|Chimera|Ke3chang|MirrorFace|Earth Lusca|Volt Typhoon|admin@338|APT1
T1040,Network Sniffing,Credential Access|Discovery,Sandworm Team|Kimsuky|Velvet Ant|Salt Typhoon|APT33|UNC3886|DarkVishnya|APT28
T1553.002,Code Signing,Defense Impairment,FIN7|Scattered Spider|Patchwork|Kimsuky|GALLIUM|Saint Bear|APT41|Molerats|OilRig|MirrorFace|Lazarus Group|Moses Staff|Silence|Wizard Spider|Leviathan|FIN6|menuPass|PROMETHIUM|Darkhotel|TA505|Mustang Panda|Medusa Group|Suckfly|Daggerfly|LuminousMoth|Winnti Group|CopyKittens
T1530,Data from Cloud Storage,Collection,Fox Kitten|Storm-0501|APT42|HAFNIUM|Scattered Spider
T1565.003,Runtime Data Manipulation,Impact,APT38
T1552.002,Credentials in Registry,Credential Access,APT32|VOID MANTICORE|RedCurl
T1135,Network Share Discovery,Discovery,Tonto Team|APT39|DarkVishnya|APT32|APT41|Medusa Group|Chimera|APT38|BlackByte|FIN13|Tropic Trooper|INC Ransom|Sowbug|Dragonfly|APT1|Wizard Spider
T1120,Peripheral Device Discovery,Discovery,Equation|APT37|APT28|Turla|OilRig|TeamTNT|Volt Typhoon|Gamaredon Group|BackdoorDiplomacy
T1036.009,Break Process Trees,Stealth,no
T1590.004,Network Topology,Reconnaissance,Salt Typhoon|MuddyWater|FIN13|Volt Typhoon
T1587.002,Code Signing Certificates,Resource Development,Daggerfly|PROMETHIUM|Patchwork
T1222.001,Windows Permissions,Defense Impairment,Wizard Spider|Storm-1811
T1137.006,Add-ins,Persistence,Naikon
T1685.002,Disable or Modify Cloud Log,Defense Impairment,APT29
T1505.002,Transport Agent,Persistence,no
T1082,System Information Discovery,Discovery,Windigo|BlackByte|OilRig|ZIRCONIUM|APT41|Blue Mockingbird|HEXANE|Darkhotel|TA2541|FIN13|Rocke|Gamaredon Group|APT37|APT32|Inception|Lazarus Group|Moses Staff|Higaisa|CURIUM|Malteiro|RedCurl|APT38|Mustang Panda|VOID MANTICORE|FIN7|Kimsuky|MuddyWater|TeamTNT|Scattered Spider|APT3|Sidewinder|Magic Hound|Daggerfly|MirrorFace|Play|Storm-0501|Contagious Interview|APT42|SideCopy|APT19|APT18|FIN8|Tropic Trooper|Aquatic Panda|Winter Vivern|Mustard Tempest|Sowbug|Wizard Spider|Turla|Patchwork|Windshift|admin@338|Medusa Group|Stealth Falcon|Moonstone Sleet|Sandworm Team|Ke3chang
T1071,Application Layer Protocol,Command And Control,Magic Hound|Rocke|INC Ransom|Velvet Ant|TeamTNT
T1574.014,AppDomainManager,Stealth|Execution,no
T1074.002,Remote Data Staging,Collection,Chimera|MirrorFace|Sea Turtle|menuPass|FIN8|Leviathan|APT28|MoustachedBouncer|ToddyCat|FIN6|Threat Group-3390
T1098.006,Additional Container Cluster Roles,Persistence|Privilege Escalation,no
T1053,Scheduled Task/Job,Execution|Persistence|Privilege Escalation,no
T1218.007,Msiexec,Stealth,Molerats|TA505|Rancor|ZIRCONIUM|Machete|APT38
T1590.003,Network Trust Dependencies,Reconnaissance,no
T1498.002,Reflection Amplification,Impact,no
T1556.002,Password Filter DLL,Defense Impairment|Persistence|Credential Access,OilRig|Strider|MirrorFace
T1505.005,Terminal Services DLL,Persistence,no
T1059.002,AppleScript,Execution,no
T1176,Software Extensions,Persistence,no
T1499.002,Service Exhaustion Flood,Impact,no
T1195.003,Compromise Hardware Supply Chain,Initial Access,no
T1106,Native API,Execution,Medusa Group|Higaisa|Lazarus Group|Gorgon Group|Turla|Chimera|BlackTech|Sandworm Team|SideCopy|Tropic Trooper|ToddyCat|menuPass|APT37|Kimsuky|Gamaredon Group|Mustang Panda|WIRTE|APT38|TA505|Silence
T1558.005,Ccache Files,Credential Access,no
T1070.007,Clear Network Connection History and Configurations,Stealth,UNC3886|Volt Typhoon
T1558.004,AS-REP Roasting,Credential Access,no
T1584.003,Virtual Private Server,Resource Development,Volt Typhoon|Turla
T1059.010,AutoHotKey & AutoIT,Execution,APT39
T1600.001,Reduce Key Space,Defense Impairment,no
T1070.003,Clear Command History,Stealth,Aquatic Panda|Medusa Group|TeamTNT|menuPass|Magic Hound|Lazarus Group|APT5|APT41
T1202,Indirect Command Execution,Stealth,Lazarus Group|RedCurl
T1091,Replication Through Removable Media,Lateral Movement|Initial Access,Gamaredon Group|LuminousMoth|Aoqin Dragon|Darkhotel|Mustang Panda|FIN7|APT28|Tropic Trooper
T1005,Data from Local System,Collection,Kimsuky|BRONZE BUTLER|LAPSUS$|APT39|HAFNIUM|Axiom|OilRig|ToddyCat|Windigo|Fox Kitten|Andariel|RedCurl|APT1|GALLIUM|APT29|Lazarus Group|Gamaredon Group|Agrius|FIN6|Aquatic Panda|Turla|APT41|LuminousMoth|APT37|Dragonfly|CURIUM|APT28|Inception|Ke3chang|Patchwork|APT3|MirrorFace|Threat Group-3390|FIN7|VOID MANTICORE|Ember Bear|Stealth Falcon|APT38|Volt Typhoon|menuPass|Wizard Spider|Magic Hound|Dark Caracal|Sandworm Team|FIN13
T1140,Deobfuscate/Decode Files or Information,Stealth,BRONZE BUTLER|Turla|APT39|WIRTE|Gorgon Group|Kimsuky|Moonstone Sleet|Mustang Panda|Agrius|Ke3chang|APT38|Volt Typhoon|Molerats|Darkhotel|Earth Lusca|Storm-1811|ZIRCONIUM|MuddyWater|OilRig|Gamaredon Group|TA505|Threat Group-3390|APT28|FIN7|TeamTNT|Winter Vivern|menuPass|Lazarus Group|BlackByte|Leviathan|Cinnamon Tempest|Rocke|Tropic Trooper|FIN13|Sandworm Team|Malteiro|APT19|Higaisa
T1137.005,Outlook Rules,Persistence,no
T1586.003,Cloud Accounts,Resource Development,APT29|APT-C-36
